uuid,nr_proj,pdf_name,station_name,station_code,connection_line,connection_type,grid_operator,voltage_kv,connection_line_type,cable_length_km,municipality,terna_approval,comment
6aebc79a-6f70-4b85-8a43-8b26f0878665,8021,8021_A_13a-STUDIO_DI_IMPATTO_AMBIENTALE.pdf,stazione elettrica (se) di smistamento a 150 ,,"rtn a 150 kv ""aliano - senise""",in antenna,rtn,150,MT/AT,4.0,sant'arcangelo,True,
a5b7369b-7eb8-458a-a13b-5314cfb3bc74,8021,8021_06_RP-Relazione_Tecnico_Paesaggistica_signed_signed_signed.pdf,stazione elettrica (se) di smistamento a 150 ,,"rtn a 150 kv ""aliano - senise""",in antenna,rtn,150,MT/AT,4.0,melfi,True,
d43f25ab-4a5d-4d42-995f-9b48ecbbab13,8021,8021_A_1-RELAZIONE_GENERALE.pdf,stazione elettrica (se) di smistamento a 150 ,,"rtn a 150 kv ""aliano - senise""",in antenna,rtn,150,MT/AT,4.0,sant'arcangelo,True,
cf783d76-764f-4ef9-8dd2-db94c6f95d66,8021,8021_A_11-DISCIPLINARE_DESCRITTIVO_PRESTAZIONALE_DEGLI_ELEMENTI_TECNICI.pdf,stazione elettrica (se) di smistamento a 150 ,,"rtn a 150 kv ""aliano - senise""",in antenna,rtn,150,MT/AT,4.0,sant'arcangelo,,
6ea8ff16-36b5-4436-8e6c-0fcb9212b2f3,8132,8132_Parere_n_412_Plenaria_del_19_9_24-ID_VIP_7436.pdf,"stazione elettrica rtn ""cancello 380""",,"rtn a 380 kv ""garigliano st - patria""",entra-esci,rtn,380/150/36,MT/AT,7.9,"grazzanise, cancello e arnone",True,
faa04c06-9e36-4a77-b5e8-1b77ef5e738a,8132,8132_MASE_VA_DEC_2024-0000310.pdf,"stazione elettrica rtn ""cancello 380""",,,,rtn,,MT,,santa maria la fossa (ce) e grazzanise (ce),,
f47dbc5f-e3ad-481e-86e8-b2545e4c79bc,8132,8132_RDE-01_STMG_e_accettazione.pdf,stazione elettrica a 380/150 kv della rtn da ,,"rtn a 380 kv ""garigliano st - patria""",in antenna,rete di trasmissione nazionale,380/150,AAT,,"santa maria la fossa, grazzanise e villa literno (ce)",True,
1e7e55e4-d7f5-4356-abc7-edcffa6a4438,8143,8143_0_Valutazione preliminare art.6 Lista di controllo.pdf,se terna 'maccabove',,"rtn a 380 kv ""Montalto–Suvereto """,entra-esce,rtn,380/132,MT,,manciano,,
1283dffa-8fc9-4e9e-bcb9-f2d52432f35e,8143,8143_Allegati.pdf,stazione elettrica utente (sseu) ,,"rtn a 380 kv ""Montalto–Suvereto """,entra-esce,terna,132/380,MT,,manciano,True,
10e743bb-0d1d-4e8d-b0e2-c89a8cf17064,8143,8143_MNC-VIA-REL-03-00-signed.pdf,stazione elettrica utente (sseu) ............,,"rtn a 380 kv ""montalto-suvereto""",entra-esce,rtn,132/380,MT,0.01,manciano,True,
e0998d56-03bc-41b8-b750-26a90840359c,8143,8143_MNC-VIA-REL-01-00-signed.pdf,stazione elettrica utente (sseu) ............,,"rtn a 380 kv ""montalto-suvereto""",in antenna,rtn,380/132,MT,0.01,manciano,True,
2027bf58-5145-4e00-b8a2-1cc37c7340af,8143,8143_MNC-VIA-REL-08-01.pdf,stazione elettrica utente (sseu) ............,,"rtn a 380 kv ""montalto-suvereto""",in antenna,rtn,380/132,MT,0.01,manciano,True,
8ec5d7da-dee3-43d6-9d27-36acbebeaa9f,8202,8202_MiTE_2023-0023281.pdf,stazione elettrica terna sita nei comune di n,,"rtn a 380 kv ""Matera-Aliano""",entra-esci,rete di trasmissione nazionale,380,MT,5.0,nardo,,
df45e0f4-a811-4af2-a448-b96e419c7d95,8202,8202_J6W2V96_RelazioneOpereConnessione-signed.pdf,stazione elettrica rtn di terna s.p.a. di con,,"rtn a 380 kv ""taranto-galatina""",in antenna,rtn,380/150,MT/AT,0.12,nardo,True,
3c8babf0-e025-42b7-9296-cf4755aa8c11,8202,8202_J6W2V96_ImpiantiDiRete_03.pdf,stazione elettrica terna di trasformazione 38,,"rtn a 380 kv ""taranto - galatina""",,terna,380/150,AT/MT,2.5,nardo,True,
06f3f28b-ae26-43ac-9c4b-237b88d6ff82,8202,8202_J6W2V96_ImpiantiDiRete_10.pdf,stazione elettrica terna di trasformazione 38,,"rtn a 380 kv ""taranto - galatina""",,terna,380/150,,2.5,nardo,,
3f5b1c1a-fe6a-4e64-b90f-73f5c2e8d28d,8202,8202_Parere_n_277_del_29_2_2024_IDVIP_7544.pdf,stazione elettrica utente e stazione elettric,,,,rete di trasmissione nazionale,30/150,MT,0.008,nardo,True,
0ebc49f6-3ecb-49e8-9e9f-e135b0830150,8202,8202_J6W2V96_StudioInserimentoUrbanistico_01-signed.pdf,stazione elettrica terna di nardo costruzione,,,,rtn,,MT/AT,3.4,nardo'  - p,,
7fc2427c-28cb-4478-be39-874ada37d5c2,8202,8202_J6W2V96_RelazionePaesaggistica-signed.pdf,stazione elettrica terna 150 kv di nuova real,,,,rete di trasmissione nazionale,30/150,MT/AT,0.014,nardo',,
d106fbe9-5911-4ae5-9fb3-ec698cc5f186,8240,8240_AS245-ET08-R_Relazione_tecnica_descrittiva_opere_RTN.pdf,stazione elettrica a 380/150 kv della rtn da ,,"rtn a 380 kv ""garigliano st - patria""",in antenna,rtn,380/150,MT/BT,0.78,"castel volturno, cancello ed arnone",True,
968f6f84-f3d9-4dc6-a672-a45ac202b7d9,8240,8240_parere_n_383_id_vip_7610_plenaria_pnr-pniec.pdf,stazione elettrica rtn sita in cancello ed ar,,"rtn a 380 kv ""garigliano st - patria""",in antenna,rtn,380/150,MT,5.0,"castel volturno, cancello ed arnone",True,
4c1e543e-48de-49e3-85a9-965c74a02a37,8240,8240_RDS-10_Viarch_Bufala.pdf,"stazione elettrica 380/150 della rtn """,,"rtn a 380 kv ""Garigliano Patria""",,terna,380/150,MT,20.0,"castel volturno, cancello ed arnone",,
016f7765-7825-46db-ae56-07a14838308b,8240,8240_RDS-10_Viarch_Sottostazione.pdf,stazione elettrica a 380/150 kv della rtn da ,,"rtn a 380 kv ""garigliano st - patria""",in antenna,rtn,30/150,AT,0.7,cancello ed arnone,,
ef72a9cf-a181-494d-9052-12e7e3597c56,8263,8263_TSTXIB1_VIncASSE_signed.pdf,stazione elettrica di utenza mt/at sara reali,,"150kv ""c.p. s. severo - c.p. serracapriola""",in antenna,rete di trasmissione nazionale,150,AT/MT,1.02,apricena,True,
b3ac7605-03fc-4ddc-8ac6-216dea917b5c,8263,8263_APR01_VIncA_SSE_signed.pdf,stazione elettrica di utenza mt/at sara reali,,"150kv ""c.p. s. severo - c.p. serracapriola""",in antenna,rete di trasmissione nazionale,150,AT/MT,0.35,apricena,True,
5dc4caa6-ba36-415f-bbfc-b95b9457acff,8263,8263_APR01_SIA_E.pdf,,,,,rete di trasmissione nazionale,150,BT/MT,5.0,apricena a sud del confine  con poggio imperiale,True,
79bfad6e-5a6f-41aa-8c1e-0109571252f4,8263,8263_2025-09-25_Modulo_lista_controllo_val_prel_TSTXB1_signed.pdf,"se terna ""san paolo di civitate""",,,,rtn,30/150,MT/AT,1.15,san paolo di civitate in provincia di  foggia,True,
2aff22de-0d23-4af2-b730-efdf80373edf,8263,8263_m_amte_CTVA_REGISTRO_UFFICIALE_I_0007114_27-09-2022.pdf,,,,,terna,0,BT/MT,10.0,apricena  (fg) e san paolo di civitate (fg) su una superficie di ca,,
10ff0045-5d23-4007-9657-6c4db9818403,8263,8263_Relazione_Apricena01.pdf,,,,,terna,,MT,11.0,apricena a sud del  confine con il comune di poggio imperiale,,
8d223794-29db-41ae-959a-5c5f58acb266,8263,8263_APR01_L.pdf,stazione elettrica ed esposizione. il sistema,,,,,,BT,0.003,,,
354d2d57-a63c-4819-971a-b20956e439ec,8263,8263_TSTXIB1_F_Relazioneoperearchitettoniche_signed.pdf,stazione elettrica. la stazione di trasformaz,,,,rtn,,MT/BT,0.003,s,,
56c194bc-ec71-4d7e-a0d8-e22524d262c2,8274,8274_MASE-2023-0180462.pdf,,,,,rtn,,AT/MT,1.5,alessandria in localita cascina maddalena,True,
f59a348e-08dd-4142-8791-1bf8fa1ca8f6,8274,8274_DOCa14.pdf,,,,,rtn,,,,alessandria,,
4920c1b5-56c2-4945-827f-121af619a847,8274,8274_parere_n_250_plenaria_del_21-12-23_id_vip_7693.pdf,,,,,rtn,150,MT/BT,0.011,alessandria,True,
